id,label,Abby,Agnes,Alfredia,arabtaxilondon,Bruce,calamtyjane67,Charles,chelseavmarsh,Cherly,Donette,Dorcas,Elfriede,Evelynn,Gema,Guy,idrisjacobs,jadesophiee,Jae,Justa,Karon,Kattie,Kellee,Kraig,lauraaolearyy,Lea,Lera,Lisette,Loise,Loreta,lorettamangan,Lucio,Madelene,Marcy,Maribel,Mathew,Matilda,Meaghan,Michel,Ramonita,Reanna,Sharita,Somer,still_les,Tamra,Telma,Vincenzo,Zenobia,Grand Total
58,Matilda,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
62,Michel,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,25
64,Ramonita,13,0,0,0,0,0,0,0,0,0,0,32,66,1,0,0,0,0,9,0,0,0,10,0,24,0,0,10,5,0,0,2,0,2,13,0,0,0,0,0,0,124,0,0,0,55,1,367
65,Reanna,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,11,0,0,0,6,0,1,33
68,Sharita,2,0,0,0,0,0,1,31,0,0,0,0,0,0,16,0,0,0,0,18,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,6,0,0,0,1,9,0,12,107
69,Somer,3,0,0,0,1,0,0,0,0,0,0,5,36,0,0,0,0,0,3,0,0,0,11,0,6,0,0,5,7,0,0,0,5,0,4,0,0,0,65,0,0,0,0,0,0,28,3,182
93,still_les,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
71,Tamra,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0,5,23
72,Telma,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,0,0,0,0,0,7,26
73,Tresa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,Vincenzo,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,27
87,Weyinmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Zenobia,1,0,1,0,0,0,0,24,0,0,0,0,0,0,11,0,0,0,0,7,2,9,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,1,9,10,0,0,3,5,0,0,89
