id,label,Abby ,Agnes ,Alfredia ,Alma.pol,Annie ,Blair ,Bruce ,Charles ,Cherly ,Cheryll ,Claire ,Deanne ,Donette ,Dorcas ,Evelynn ,Gema ,gracewoolford,Jae ,Jonell ,Josette ,Kala ,Kandis ,Katheleen ,Kattie ,Kellee ,Lea ,Lera ,Lisette ,Loise ,Loreta ,Maaz,Madelene ,Marcie ,Marcy ,Maribel ,Mathew ,Matilda ,Meaghan,Merideth ,Sharita ,Somer ,Tresa ,Venice ,Weyinmi,Yen ,Zenaida ,Zenobia ,(blank),Grand Total
47,Loise,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48,Loreta,7,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,1,0,0,3,2,0,0,0,0,0,4,0,42
50,Maaz,6,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,17
51,Madelene,7,2,0,0,0,0,6,10,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,12,12,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,8,0,71
53,Marcie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
55,Maribel,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
57,Mathew,12,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,45
58,Matilda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
59,Meaghan,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,0,15
60,Merideth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
68,Sharita,10,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,110,0,159
69,Somer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
73,Tresa,16,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,34
74,Venice,38,1,0,8,0,0,20,2,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,0,118
77,Yen,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
80,Zenobia,72,2,0,4,0,0,21,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3,0,2,116,19,4,3,0,3,0,12,0,0,0,9,0,2,0,74,6,2,36,0,0,0,0,0,420
