id,label,Aaron,Abby,Agnes,Alfredia,Alma.pol,Annie,arabtaxilondon,Blair,Bruce,calamtyjane67,Charles,chelseavmarsh,Cherly,Cheryll,Chester,Daisy,Deanne,Dedra,Donette,Dorcas,Dorethea,Elfriede,Evelynn,Gema,gracewoolford,Guy,idrisjacobs,jadesophiee,Jae,JenniferCimelli,Jessika,Jonell,Josette,Justa,Justina,Kala,Kandis,Karon,Katheleen,Kattie,Kellee,Kraig,lauraaolearyy,Lea,Lera,Lisette,Loise,Loreta,lorettamangan,Lucio,Maaz,Madelene,Marcie,Marcy,Maribel,Marx,Mathew,Matilda,maxruswell,Meaghan,Merideth,Michel,Ramonita,Reanna,Rosalba,samharris_6,Serina,Sharita,Somer,still_les,Tamika,Tamra,Telma,Tresa,Trilla_Ruben,Venice,Vincenzo,Weyinmi,Yen,Yung,Zenaida,Zenobia,Zola
20,Dedra,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Donette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,Dorethea,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Elfriede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Evelynn,0,3,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,2,1,0,0,0,9,0,0,3,0,0,0,1,1,2,6,0,0,3,2,0,0,4,1,0,0,1,0,10,0,0,0,0,0,69,0,0,0,0,1,28,0,0,0,0,0,0,0,18,0,0,0,1,3,0
26,Gema,3,18,13,0,2,3,5,0,1,2,1,0,7,1,0,0,1,1,0,0,1,0,6,3,2,0,4,17,8,1,2,1,0,0,1,1,6,0,1,1,5,0,0,1,1,0,5,0,0,3,14,0,1,0,0,2,0,0,1,0,8,0,0,0,1,1,1,0,0,0,0,0,0,4,1,1,0,1,2,1,2,3,0
85,gracewoolford,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
27,Guy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
95,idrisjacobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,jadesophiee,0,1,0,0,0,0,3,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Jae,0,10,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,4,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,2,7,1,0,0,1,0,0,0,1,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0
